epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.4234,0.46795,0.55,1,1.881,0.000546847,0.000546847,0.000546847
2,37.8815,0.16951,0.555,1,2.3572,0.0011025,0.0011025,0.0011025
3,54.5219,0.15405,0.59,1,3.76388,0.00165808,0.00165808,0.00165808
4,71.1808,0.22951,0.52,1,2.44001,0.00166677,0.00166677,0.00166677
5,87.6462,0.1916,0.44,1,2.14579,0.00166659,0.00166659,0.00166659
6,104.16,0.21144,0.575,1,3.03488,0.00166636,0.00166636,0.00166636
7,120.699,0.19956,0.545,1,2.85979,0.00166608,0.00166608,0.00166608
8,137.299,0.15507,0.53,1,3.44559,0.00166575,0.00166575,0.00166575
9,153.948,0.11226,0.535,1,2.5512,0.00166537,0.00166537,0.00166537
10,170.622,0.12772,0.54,1,3.7659,0.00166494,0.00166494,0.00166494
11,187.347,0.11174,0.545,1,3.15541,0.00166446,0.00166446,0.00166446
12,204.079,0.08172,0.545,1,4.24665,0.00166392,0.00166392,0.00166392
13,220.925,0.10495,0.545,1,4.47573,0.00166334,0.00166334,0.00166334
14,237.702,0.07308,0.565,1,3.47461,0.0016627,0.0016627,0.0016627
15,254.546,0.08174,0.515,1,3.25949,0.00166202,0.00166202,0.00166202
16,271.444,0.08807,0.55,1,4.43276,0.00166128,0.00166128,0.00166128
17,288.325,0.09812,0.54,1,3.79688,0.00166049,0.00166049,0.00166049
18,305.235,0.07007,0.54,1,3.98884,0.00165966,0.00165966,0.00165966
19,322.144,0.06106,0.55,1,4.77567,0.00165877,0.00165877,0.00165877
20,339.108,0.06028,0.55,1,4.9322,0.00165783,0.00165783,0.00165783
21,356.074,0.04925,0.545,1,5.3471,0.00165684,0.00165684,0.00165684
22,372.967,0.09049,0.55,1,4.58482,0.0016558,0.0016558,0.0016558
23,389.916,0.09415,0.545,1,3.23717,0.00165471,0.00165471,0.00165471
24,406.761,0.07905,0.55,1,4.16685,0.00165357,0.00165357,0.00165357
25,423.678,0.06242,0.555,1,4.51311,0.00165238,0.00165238,0.00165238
26,440.563,0.08036,0.55,1,5.56306,0.00165114,0.00165114,0.00165114
27,457.435,0.05006,0.545,1,5.00167,0.00164986,0.00164986,0.00164986
28,474.299,0.05548,0.54,1,5.07952,0.00164852,0.00164852,0.00164852
29,491.12,0.07114,0.55,1,4.78153,0.00164713,0.00164713,0.00164713
30,507.959,0.03293,0.55,1,5.33789,0.00164569,0.00164569,0.00164569
31,524.832,0.05083,0.545,1,5.4202,0.0016442,0.0016442,0.0016442
32,541.691,0.05118,0.53,1,4.19224,0.00164266,0.00164266,0.00164266
33,558.54,0.04864,0.55,1,6.31362,0.00164108,0.00164108,0.00164108
34,575.425,0.07872,0.54,1,6.46317,0.00163944,0.00163944,0.00163944
35,592.32,0.07498,0.535,1,5.57534,0.00163775,0.00163775,0.00163775
36,609.161,0.0787,0.54,1,5.387,0.00163602,0.00163602,0.00163602
37,625.991,0.04896,0.535,1,4.03683,0.00163424,0.00163424,0.00163424
38,642.794,0.07442,0.54,1,5.67801,0.0016324,0.0016324,0.0016324
39,659.591,0.06844,0.54,1,4.63309,0.00163052,0.00163052,0.00163052
40,676.456,0.03817,0.535,1,4.45145,0.00162859,0.00162859,0.00162859
41,693.31,0.03855,0.555,1,5.67104,0.00162661,0.00162661,0.00162661
42,710.183,0.03117,0.54,1,4.56515,0.00162459,0.00162459,0.00162459
43,727.007,0.01737,0.545,1,5.4421,0.00162251,0.00162251,0.00162251
44,743.838,0.02188,0.545,1,5.09877,0.00162039,0.00162039,0.00162039
45,760.679,0.01502,0.55,1,6.70759,0.00161822,0.00161822,0.00161822
46,777.542,0.01858,0.55,1,7.03697,0.001616,0.001616,0.001616
47,794.366,0.06965,0.535,1,5.41992,0.00161373,0.00161373,0.00161373
48,811.198,0.05837,0.54,1,6.02009,0.00161142,0.00161142,0.00161142
49,828.052,0.0593,0.545,1,4.97126,0.00160905,0.00160905,0.00160905
50,844.894,0.08543,0.55,1,4.58733,0.00160664,0.00160664,0.00160664
51,861.741,0.0499,0.55,1,5.50335,0.00160419,0.00160419,0.00160419
52,878.545,0.05409,0.545,1,4.5106,0.00160168,0.00160168,0.00160168
53,895.404,0.0454,0.55,1,4.7168,0.00159913,0.00159913,0.00159913
